filmTitle,filmGenre,bookTitle,bookGenre,author,authorName,birthDate
Life with the Lyons (film),,Bob Block,,,,
Life's Whirlpool (1916 film),,Frank Norris,,,,
Little Shop of Horrors (musical),,The Little Shop of Horrors,,,,
Little Shop of Horrors (musical),,Charles B. Griffith,,,,
Lockout (film),,Debra Hill,,,,
Lockout (film),,Nick Castle,,,,
Lockout (film),,Kurt Russell,,,,
Lombardi (film),,Vince Lombardi,,,,
Lone Texas Ranger,,Fred Harman,,,,
Lone Wolf and Cub: Final Conflict,,Lone Wolf and Cub,,http://dbpedia.org/resource/Kazuo_Koike,Kazuo Koike,
Lone Wolf and Cub: Final Conflict,,Manga,,,,
Lotrando a Zubejda,,Zdeněk Svěrák,,,,
Lotrando a Zubejda,,Karel Čapek,Political satire,,,
Lotrando a Zubejda,,Karel Čapek,Fairy tales,,,
Lotrando a Zubejda,,Karel Čapek,Science fiction,,,
Love 86,,Ilanjodigal,,,,
Love Affair (1994 film),,Donald Ogden Stewart,,,,
Love Comes Lately,,Isaac Bashevis Singer,Prose,,,
Love Express (2016 film),,Venkatadri Express,,,,
Love in a Goldfish Bowl,,Jack Sher,,,,
Love on the Run (1979 film),,Antoine Doinel,,,,
Lulu Belle (film),,Edward Sheldon,,,,
Lulu Belle (film),,Charles MacArthur,,,,
Luv Kush,Epic Film,Uttara Kanda,,,,
Lysistrata Jones,,Lysistrata,,http://dbpedia.org/resource/Aristophanes,Aristophanes,
Maaficha Sakshidar,,Joshi-Abhyankar serial murders,,,,
Mah e Mir,,Meer Taqi Meer,,,,
Main Intaquam Loonga,,Thayige Thakka Maga,,,,
Majhli Didi,,Sarat Chandra Chattopadhyay,,,,
Maleficent (film),,Sleeping Beauty (1959 film),,,,
Maleficent (film),,Walt Disney Animation Studios,,,,
Malta Story,,Hugh Pughe Lloyd,,,,
Mana Voori Pandavulu,,Paduvaaralli Pandavaru,,,,
Mann (film),,An Affair to Remember,,,,
